,EPOCH,POINTS,REWARD
568,568,0,-96
569,569,0,-1561
570,570,1,-51
571,571,1,-93
572,572,0,-787
573,573,0,-1139
574,574,0,-754
575,575,0,-115
576,576,0,-260
577,577,0,-166
578,578,0,-686
579,579,0,-1002
580,580,0,-1480
581,581,0,-35
582,582,0,-1873
583,583,0,-665
584,584,0,-2241
585,585,0,-323
586,586,0,-455
587,587,0,-325
588,588,0,-814
589,589,0,-135
590,590,1,-1
591,591,1,-387
592,592,0,-152
593,593,1,-361
594,594,1,-240
595,595,0,-211
596,596,0,-144
597,597,1,-243
598,598,0,-989
599,599,0,-477
600,600,0,-423
601,601,0,-112
602,602,0,-1547
603,603,0,-146
604,604,0,-359
605,605,0,-323
606,606,0,-851
607,607,0,-317
608,608,0,-997
609,609,0,-1483
610,610,0,-649
611,611,0,-1604
612,612,0,-2993
613,613,1,-377
614,614,0,-380
615,615,0,-2136
616,616,0,-1104
617,617,0,-352
618,618,0,-765
619,619,0,-239
620,620,0,-246
621,621,1,-36
622,622,0,-179
623,623,0,-685
624,624,0,-65
625,625,0,-541
626,626,1,-493
627,627,0,-1586
628,628,0,-1122
629,629,0,-635
630,630,0,-2041
631,631,0,-504
632,632,1,-1298
633,633,0,-2501
634,634,0,-1921
635,635,1,-238
636,636,0,-375
637,637,0,-818
638,638,0,-565
639,639,0,-88
640,640,0,-1133
641,641,0,-360
642,642,1,-239
643,643,0,-431
644,644,0,-531
645,645,0,-2721
646,646,0,-255
647,647,0,-530
648,648,0,-293
649,649,0,-332
650,650,0,-1004
651,651,1,-1835
652,652,0,-884
653,653,0,-124
654,654,1,-1570
655,655,1,-2588
656,656,0,-419
657,657,1,-263
658,658,1,-330
659,659,0,-118
660,660,0,-1278
661,661,0,-136
662,662,0,-485
663,663,0,-296
664,664,0,-808
665,665,0,-978
666,666,0,-841
667,667,0,-394
668,668,0,-534
669,669,0,-425
670,670,0,-955
671,671,0,-1100
672,672,0,-476
673,673,0,-236
674,674,0,-266
675,675,0,-525
676,676,0,-1361
677,677,0,-989
678,678,1,-1122
679,679,0,-1096
680,680,1,-231
681,681,0,-412
682,682,0,-4924
683,683,0,-97
684,684,0,-152
685,685,0,-1245
686,686,0,-328
687,687,0,-632
688,688,0,-697
689,689,0,-353
690,690,0,-1305
691,691,0,-583
692,692,0,-477
693,693,0,-512
694,694,0,-525
695,695,0,-59
696,696,0,-1440
697,697,0,-403
698,698,0,-755
699,699,1,-158
700,700,0,-654
701,701,0,-328
702,702,0,-1170
703,703,1,-424
704,704,0,-480
705,705,0,-803
706,706,0,-3354
707,707,0,-202
708,708,0,-1645
709,709,0,-247
710,710,0,-777
711,711,0,-3202
712,712,1,-1509
713,713,0,-1061
714,714,0,-598
715,715,0,-653
716,716,0,-1006
717,717,0,-710
718,718,0,-2958
719,719,0,-413
720,720,0,-371
721,721,0,-348
722,722,0,-54
723,723,0,-249
724,724,0,-678
725,725,0,-121
726,726,0,-868
727,727,0,-1755
728,728,0,-3481
729,729,0,-113
730,730,0,-165
731,731,0,-206
732,732,0,-581
733,733,0,-1106
734,734,0,-4236
735,735,0,-98
736,736,0,-1912
737,737,0,-531
738,738,0,-717
739,739,0,-496
740,740,0,-810
741,741,1,-621
742,742,1,-682
743,743,0,-71
744,744,0,-212
745,745,0,-499
746,746,0,-1800
747,747,0,-680
748,748,0,-293
749,749,0,-402
750,750,0,-476
751,751,0,-419
752,752,0,-954
753,753,0,-189
754,754,1,-992
755,755,1,-1361
756,756,0,-492
757,757,0,-630
758,758,0,-2917
759,759,0,-341
760,760,0,-110
761,761,0,-855
762,762,1,-274
763,763,0,-473
764,764,0,-207
765,765,0,-1228
766,766,0,-868
767,767,0,-563
768,768,0,-110
769,769,1,-1240
770,770,1,-256
771,771,0,-166
772,772,0,-2050
773,773,0,-1040
774,774,0,-377
775,775,0,-1206
776,776,0,-2550
777,777,0,-929
778,778,0,-298
779,779,0,-432
780,780,0,-311
781,781,0,-3395
782,782,1,-28
783,783,0,-473
784,784,0,-227
785,785,0,-1462
786,786,0,-1716
787,787,0,-1334
788,788,0,-274
789,789,0,-2759
790,790,0,-630
791,791,0,-572
792,792,0,-227
793,793,0,-309
794,794,0,-1473
795,795,1,-306
796,796,0,-604
797,797,0,-1160
798,798,0,-3069
799,799,0,-1957
800,800,0,-834
801,801,1,-1040
802,802,0,-501
803,803,0,-528
804,804,1,-1501
805,805,0,-2074
806,806,0,-1479
807,807,0,-1393
808,808,1,-1383
809,809,0,-179
810,810,0,-592
811,811,0,-651
812,812,0,-115
813,813,0,-174
814,814,1,-245
815,815,0,-1883
816,816,0,-107
817,817,0,-967
818,818,1,-445
819,819,0,-234
820,820,0,-1702
821,821,0,-1075
822,822,0,-614
823,823,2,-107
824,824,0,-2703
825,825,0,-390
826,826,0,-598
827,827,0,-624
828,828,0,-277
829,829,1,-36
830,830,1,-79
831,831,0,-338
832,832,0,-610
833,833,0,-272
834,834,0,-194
835,835,1,-214
836,836,0,-966
837,837,0,-1429
838,838,0,-311
839,839,0,-1008
840,840,0,-666
841,841,0,-384
842,842,0,-691
843,843,0,-463
844,844,1,-1
845,845,0,-398
846,846,0,-292
847,847,0,-135
848,848,0,-3541
849,849,1,-47
850,850,0,-1594
851,851,0,-477
852,852,0,-68
853,853,1,-1
854,854,0,-380
855,855,0,-363
856,856,0,-1966
